longitude,latitude,time
degrees_east,degrees_north,UTC
-121.82,36.88,2004-09-06T00:00:00Z
-121.92,36.82,2004-09-07T00:00:00Z
-122.12,36.71,2004-09-08T00:00:00Z
-122.33,36.46,2004-09-09T00:00:00Z
-122.81,36.42,2004-09-10T00:00:00Z
-123.34,36.07,2004-09-11T00:00:00Z
-123.85,35.48,2004-09-12T00:00:00Z
-124.29,34.91,2004-09-13T00:00:00Z
-124.94,34.6,2004-09-14T00:00:00Z
-125.3,34.06,2004-09-15T00:00:00Z
-125.55,33.6,2004-09-16T00:00:00Z
-125.85,33.18,2004-09-17T00:00:00Z
-126.37,32.79,2004-09-18T00:00:00Z
-126.69,32.37,2004-09-19T00:00:00Z
-126.92,31.92,2004-09-20T00:00:00Z
-127.16,31.45,2004-09-21T00:00:00Z
-127.45,31.14,2004-09-22T00:00:00Z
-127.81,30.89,2004-09-23T00:00:00Z
-128.09,30.6,2004-09-24T00:00:00Z
-128.42,30.43,2004-09-25T00:00:00Z
-128.77,30.24,2004-09-26T00:00:00Z
-128.98,30.01,2004-09-27T00:00:00Z
-129.23,29.73,2004-09-28T00:00:00Z
-129.31,29.35,2004-09-29T00:00:00Z
-129.43,28.97,2004-09-30T00:00:00Z
-129.61,28.5,2004-10-01T00:00:00Z
-129.73,28.17,2004-10-02T00:00:00Z
-129.91,27.91,2004-10-03T00:00:00Z
-130.18,27.62,2004-10-04T00:00:00Z
-130.42,27.33,2004-10-05T00:00:00Z
-130.7,27.02,2004-10-06T00:00:00Z
-130.89,26.73,2004-10-07T00:00:00Z
-131.14,26.48,2004-10-08T00:00:00Z
-131.34,26.17,2004-10-09T00:00:00Z
-131.5,25.83,2004-10-10T00:00:00Z
-131.71,25.47,2004-10-11T00:00:00Z
-131.96,25.1,2004-10-12T00:00:00Z
-132.09,24.84,2004-10-13T00:00:00Z
-132.19,24.5,2004-10-14T00:00:00Z
-132.28,24.15,2004-10-15T00:00:00Z
-132.41,23.85,2004-10-16T00:00:00Z
-132.53,23.59,2004-10-17T00:00:00Z
-132.75,23.34,2004-10-18T00:00:00Z
-132.98,23.06,2004-10-19T00:00:00Z
-133.08,22.72,2004-10-20T00:00:00Z
-133.21,22.4,2004-10-21T00:00:00Z
-133.35,22.12,2004-10-22T00:00:00Z
-133.6,21.96,2004-10-23T00:00:00Z
-133.76,21.71,2004-10-24T00:00:00Z
-134.07,21.38,2004-10-25T00:00:00Z
-134.41,21.05,2004-10-26T00:00:00Z
-134.9,20.81,2004-10-27T00:00:00Z
-135.21,20.38,2004-10-28T00:00:00Z
-135.36,19.99,2004-10-29T00:00:00Z
-135.64,19.81,2004-10-30T00:00:00Z
-135.75,19.67,2004-10-31T00:00:00Z
-135.93,19.53,2004-11-01T00:00:00Z
-136.14,19.37,2004-11-02T00:00:00Z
-136.3,19.17,2004-11-03T00:00:00Z
-136.47,18.96,2004-11-04T00:00:00Z
-136.68,18.72,2004-11-05T00:00:00Z
-136.84,18.47,2004-11-06T00:00:00Z
-137.09,18.17,2004-11-07T00:00:00Z
-137.31,17.92,2004-11-08T00:00:00Z
-137.59,17.69,2004-11-09T00:00:00Z
-137.87,17.4,2004-11-10T00:00:00Z
-138.31,17.09,2004-11-11T00:00:00Z
-138.8,16.71,2004-11-12T00:00:00Z
-139.32,16.36,2004-11-13T00:00:00Z
-139.84,15.96,2004-11-14T00:00:00Z
-140.32,15.57,2004-11-15T00:00:00Z
-140.81,15.22,2004-11-16T00:00:00Z
-141.44,14.98,2004-11-17T00:00:00Z
-141.94,14.77,2004-11-18T00:00:00Z
-142.75,14.55,2004-11-19T00:00:00Z
-143.5,14.16,2004-11-20T00:00:00Z
-144.04,13.96,2004-11-21T00:00:00Z
-144.64,13.88,2004-11-22T00:00:00Z
-145.24,13.87,2004-11-23T00:00:00Z
-145.63,13.77,2004-11-24T00:00:00Z
-145.95,13.61,2004-11-25T00:00:00Z
-146.29,13.27,2004-11-26T00:00:00Z
-146.63,12.93,2004-11-27T00:00:00Z
-146.87,12.59,2004-11-28T00:00:00Z
-147.12,12.3,2004-11-29T00:00:00Z
-147.38,12.01,2004-11-30T00:00:00Z
-147.62,11.72,2004-12-01T00:00:00Z
-147.85,11.44,2004-12-02T00:00:00Z
-148.13,11.18,2004-12-03T00:00:00Z
-148.5,10.98,2004-12-04T00:00:00Z
-149.0,10.88,2004-12-05T00:00:00Z
-149.44,10.76,2004-12-06T00:00:00Z
-150.02,10.75,2004-12-07T00:00:00Z
-150.42,10.63,2004-12-08T00:00:00Z
-150.89,10.51,2004-12-09T00:00:00Z
-151.26,10.4,2004-12-10T00:00:00Z
-151.6,10.28,2004-12-11T00:00:00Z
-151.99,10.2,2004-12-12T00:00:00Z
-152.35,10.15,2004-12-13T00:00:00Z
-152.76,10.24,2004-12-14T00:00:00Z
-153.19,10.38,2004-12-15T00:00:00Z
-153.6,10.48,2004-12-16T00:00:00Z
-154.01,10.59,2004-12-17T00:00:00Z
-154.37,10.71,2004-12-18T00:00:00Z
-154.76,10.88,2004-12-19T00:00:00Z
-155.12,11.16,2004-12-20T00:00:00Z
-155.48,11.44,2004-12-21T00:00:00Z
-155.87,11.62,2004-12-22T00:00:00Z
-156.16,11.85,2004-12-23T00:00:00Z
-156.5,11.95,2004-12-24T00:00:00Z
-156.89,12.05,2004-12-25T00:00:00Z
-157.31,12.09,2004-12-26T00:00:00Z
-157.76,12.13,2004-12-27T00:00:00Z
